image,title,url,price,source,rating,category
,(ABS) ALAT PEMOTONG KENTANG PENGIRIS SAYUR PARUTAN CHOPPER 12IN1 SERBAGUNA,https://www.lazada.co.id/products/abs-alat-pemotong-kentang-pengiris-sayur-parutan-chopper-12in1-serbaguna-i4273518018-s7221538989.html?search=1,42800,bukalapak,0.0,Alat Pemotong Serbaguna
,Parutan Keju MPASI Stainless Steel Serbaguna - 21Cm,https://www.lazada.co.id/products/parutan-keju-mpasi-stainless-steel-serbaguna-21cm-i1682414305-s3261860335.html?search=1,3300,bukalapak,4.0,Alat Pemotong Serbaguna
,Parutan Keripik Serbaguna Pengiris Singkong Pisang Bawang Kacang Tempe,https://www.lazada.co.id/products/parutan-keripik-serbaguna-pengiris-singkong-pisang-bawang-kacang-tempe-i792232812-s1115926180.html?search=1,23500,bukalapak,4.0,Alat Pemotong Serbaguna
,PROMO TERMURAH (COD)! Pemotong Pengiris Parutan serbaguna 9in1 kentang sayuran-FUTUREWORLD88,https://www.lazada.co.id/products/promo-termurah-cod-pemotong-pengiris-parutan-serbaguna-9in1-kentang-sayuran-futureworld88-i4702950853-s8396138995.html?search=1,36000,bukalapak,0.0,Alat Pemotong Serbaguna
,Pisau Stainless Serbaguna Anti Karat Pengupas Kulit Buah Sayur,https://www.lazada.co.id/products/pisau-stainless-serbaguna-anti-karat-pengupas-kulit-buah-sayur-i5190460898-s10048294151.html?search=1,8999,bukalapak,5.0,Alat Pemotong Serbaguna
,Parutan Serbaguna / Parutan Multifungsi,https://www.lazada.co.id/products/parutan-serbaguna-parutan-multifungsi-i5231696811-s9963264021.html?search=1,54500,bukalapak,0.0,Alat Pemotong Serbaguna
,TERBUKTI BERKUALITAS - PENGIRIS KERIPIK SERBAGUNA ALAT PARUTAN BAWANG SINGKONG PISANG PISAU Parutan Keripik Serbaguna / Parutan Pasah Bawang / Singkong / Tempe / Pengiris Serbaguna,https://www.lazada.co.id/products/terbukti-berkualitas-pengiris-keripik-serbaguna-alat-parutan-bawang-singkong-pisang-pisau-parutan-keripik-serbaguna-parutan-pasah-bawang-singkong-tempe-pengiris-serbaguna-i4889056402-s9021634104.html?search=1&freeshipping=1,19700,bukalapak,4.0,Alat Pemotong Serbaguna
,Mesin Parut Kelapa/singkong dan bumbu masak dll Dengan Food Grade Listrik 200 Watt SERBAGUNA/MESIN PARUT BUMBU MASAK DLL HARGA TERMURAH,https://www.lazada.co.id/products/mesin-parut-kelapasingkong-dan-bumbu-masak-dll-dengan-food-grade-listrik-200-watt-serbagunamesin-parut-bumbu-masak-dll-harga-termurah-i5098814882-s9455520288.html?search=1,222500,bukalapak,5.0,Alat Pemotong Serbaguna
,PROMO TERMURAH!!! [COD] BAYAR DITEMPAT Alat Potong Kentang Sayur Multifungsi Pengiris Parutan Chopper Kitchen Serbaguna 9 In 1 TERLARIS!!LAPAK WALLPAPER,https://www.lazada.co.id/products/promo-termurah-cod-bayar-ditempat-alat-potong-kentang-sayur-multifungsi-pengiris-parutan-chopper-kitchen-serbaguna-9-in-1-terlarislapak-wallpaper-i4245618206-s7166628831.html?search=1,38000,bukalapak,0.0,Alat Pemotong Serbaguna
,Yangma COD Promo Murah Pencincang Manual Mini Cutter Q2 P-201 Slicer Alat Potong Manual Tangan Multifungsi Pencacah Serbaguna Bumbu Dapur Best Seller,https://www.lazada.co.id/products/yangma-cod-promo-murah-pencincang-manual-mini-cutter-q2-p-201-slicer-alat-potong-manual-tangan-multifungsi-pencacah-serbaguna-bumbu-dapur-best-seller-i721058435-s998152812.html?search=1&freeshipping=1,86626,bukalapak,0.0,Alat Pemotong Serbaguna
